RowNumber,Loan_ID,CustomerId,Surname,Designation,Education,Self_Employed,CreditScore,Credit_History,Geography,Property_Area,Married,Gender,Age,Tenure,Balance,HasCar,NumOfProducts,HasCrCard,IsActiveMember,Dependents,ApplicantIncome,CoapplicantIncome, EstimatedSalary ,Exited,Loan_Status,No Customer,LoanAmount
1,LP001002,15634602,Hargrave,Manager,Graduate,No,619,Yes,France,Urban,Not Married,Female,42,2,0,Yes,Yes,Yes,Yes,0,5849,0," 1,01,349 ",1,Loan Approved,1,959
2,LP001003,15647311,Hill,Sr Manager,Graduate,No,608,Yes,Spain,Rural,Divorced,Female,41,1,83807.86,No,Yes,No,Yes,1,4583,1508," 1,12,543 ",0,Not Approved,1,525
3,LP001005,15619304,Onio,Manager,Graduate,Yes,502,Yes,France,Urban,Divorced,Female,42,8,159660.8,Yes,3,Yes,No,0,3000,0," 1,13,932 ",1,Loan Approved,1,691
4,LP001006,15701354,Boni,Sr Manager,Not Graduate,No,699,Yes,France,Urban,Divorced,Female,39,1,0,No,2,No,No,0,2583,2358," 93,827 ",0,Loan Approved,1,816
5,LP001008,15737888,Mitchell,Manager,Graduate,No,850,Yes,Spain,Urban,Not Married,Female,43,2,125510.82,Yes,Yes,Yes,Yes,0,6000,0," 79,084 ",0,Loan Approved,1,789
6,LP001011,15574012,Chu,Manager,Graduate,Yes,645,Yes,Spain,Urban,Divorced,Male,44,8,113755.78,Yes,2,Yes,No,2,5417,4196," 1,49,757 ",1,Loan Approved,1,314
7,LP001013,15592531,Bartlett,Executive,Not Graduate,No,822,Yes,France,Urban,Married,Male,50,7,0,Yes,2,Yes,Yes,0,2333,1516," 10,063 ",0,Loan Approved,1,666
8,LP001014,15656148,Obinna,Sr Manager,Graduate,No,376,No,Germany,Semiurban,Divorced,Female,29,4,115046.74,Yes,4,Yes,No,3+,3036,2504," 1,19,347 ",1,Not Approved,1,814
9,LP001018,15792365,He,Manager,Graduate,No,501,Yes,France,Urban,Divorced,Male,44,4,142051.07,No,2,No,Yes,2,4006,1526," 74,941 ",0,Loan Approved,1,687
10,LP001020,15592389,H?,Manager,Graduate,No,684,Yes,France,Semiurban,Married,Male,27,2,134603.88,Yes,Yes,Yes,Yes,1,12841,10968," 71,726 ",0,Not Approved,1,876
11,LP001024,15767821,Bearce,Executive,Graduate,No,528,Yes,France,Urban,Married,Male,31,6,102016.72,No,2,No,No,2,3200,700," 80,181 ",0,Loan Approved,1,465
12,LP001027,15737173,Andrews,Sr Manager,Graduate,No,497,Yes,Spain,Urban,Married,Male,24,3,0,Yes,2,Yes,No,2,2500,1840," 76,390 ",0,Loan Approved,1,860
13,LP001028,15632264,Kay,Sr Manager,Graduate,No,476,Yes,France,Urban,Married,Female,34,10,0,Yes,2,Yes,No,2,3073,8106," 26,261 ",0,Loan Approved,1,948
14,LP001029,15691483,Chin,Executive,Graduate,No,549,Yes,France,Rural,Not Married,Female,25,5,0,No,2,No,No,0,1853,2840," 1,90,858 ",0,Not Approved,1,762
15,LP001030,15600882,Scott,Manager,Graduate,No,635,Yes,Spain,Urban,Married,Female,35,7,0,Yes,2,Yes,Yes,2,1299,1086," 65,952 ",0,Loan Approved,1,873
16,LP001032,15643966,Goforth,Executive,Graduate,No,616,Yes,Germany,Urban,Not Married,Male,45,3,143129.41,No,2,No,Yes,0,4950,0," 64,327 ",0,Loan Approved,1,826
17,LP001034,15737452,Romeo,Executive,Not Graduate,No,653,Yes,Germany,Urban,Not Married,Male,58,1,132602.88,Yes,Yes,Yes,No,1,3596,0," 5,098 ",1,Loan Approved,1,433
18,LP001036,15788218,Henderson,Executive,Graduate,No,549,No,Spain,Urban,Not Married,Female,24,9,0,Yes,2,Yes,Yes,0,3510,0," 14,406 ",0,Not Approved,1,156
19,LP001038,15661507,Muldrow,Executive,Not Graduate,No,587,Yes,Spain,Rural,Divorced,Male,45,6,0,No,Yes,No,No,0,4887,0," 1,58,685 ",0,Not Approved,1,797
20,LP001041,15568982,Hao,Executive,Graduate,No,726,Yes,France,Urban,Married,Female,24,6,0,Yes,2,Yes,Yes,0,2600,3500," 54,724 ",0,Loan Approved,1,166
21,LP001043,15577657,McDonald,Sr Manager,Not Graduate,No,732,No,France,Urban,Married,Male,41,8,0,Yes,2,Yes,Yes,0,7660,0," 1,70,886 ",0,Not Approved,1,834
22,LP001046,15597945,Dellucci,Sr Manager,Graduate,No,636,Yes,Spain,Urban,Divorced,Female,32,8,0,Yes,2,Yes,No,1,5955,5625," 1,38,555 ",0,Loan Approved,1,468
23,LP001047,15699309,Gerasimov,Executive,Not Graduate,No,510,No,Spain,Semiurban,Divorced,Female,38,4,0,Yes,Yes,Yes,No,0,2600,1911," 1,18,914 ",1,Not Approved,1,477
24,LP001050,15725737,Mosman,Executive,Not Graduate,No,669,No,France,Rural,Divorced,Male,46,3,0,No,2,No,Yes,2,3365,1917," 8,488 ",0,Not Approved,1,615
