First_name,Last_name,Age,City,Airline,Date_of_Journey,Dep_Time,Arrival_Time,Dept_Hour,Dept_Minute,Arrival_Hour,Arrival_Minute,Full Name
Ram,Kumar,42,BANGALURU,IndiGo,24-03-2019,22:20,01:10:00,22,20,1,10,Ram-Kumar
Mohan,Sharma,52,CHENNAI,Air India,01-05-2019,05:50,13:15,5,50,13,15,Mohan-Sharma
Tina,Ali,36,Pune,Jet Airways,09-06-2019,09:25,04:25:00,9,25,4,25,Tina-Ali
Jeetu,Gandhi,,Delhi,IndiGo,12-05-2019,18:05,23:30,18,5,23,30,Jeetu-Gandhi
Meera,Kumari,,LUCKNOW,IndiGo,01-03-2019,16:50,21:35,16,50,21,35,Meera-Kumari
Ram,Kumar,42,BANGALURU,,24-03-2019,22:20,01:10:00,22,20,1,10,Ram-Kumar
Mohan,Sharma,52,CHENNAI,,01-05-2019,05:50,13:15,5,50,13,15,Mohan-Sharma
Rajesh,Pawar,39,,Jet Airways,01-03-2019,05:05,08:00,5,5,8,0,Rajesh-Pawar
Sanjay,Patil,43,,Jet Airways,12-03-2019,08:55,10:25,8,55,10,25,Sanjay-Patil
Trishul,Shinde,45,Pune,Multiple carriers,27-05-2019,11:25,19:15,11,25,19,15,Trishul-Shinde
Sameer,Patil,39,Delhi,Jet Airways,12-03-2019,10:25,18:55,10,25,18,55,Sameer-Patil
Amol,Mahul,40,LUCKNOW,Jet Airways,01-03-2019,05:05,08:00,5,5,8,0,Amol-Mahul
Praveen,Gurjar,47,BANGALURU,Jet Airways,12-03-2019,08:55,10:25,8,55,10,25,Praveen-Gurjar
Sunita,Patil,40,CHENNAI,Multiple carriers,27-05-2019,11:25,19:15,11,25,19,15,Sunita-Patil
Amol,Mahul,40,LUCKNOW,Jet Airways,01-03-2019,05:05,08:00,5,5,8,0,Amol-Mahul
Praveen,Gurjar,47,BANGALURU,Jet Airways,12-03-2019,08:55,10:25,8,55,10,25,Praveen-Gurjar
Sunita,Patil,40,CHENNAI,Multiple carriers,27-05-2019,11:25,19:15,11,25,19,15,Sunita-Patil
