RowNumber,Loan_ID,CustomerId,Surname,Designation,Education,Self_Employed,CreditScore,Credit_History,Geography,Property_Area,Married,Gender,Age,Tenure,Balance,HasCar,NumOfProducts,HasCrCard,IsActiveMember,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,EstimatedSalary,Exited,Loan_Status,No Customer,LoanAmount
1,LP001002,15634602,Hargrave,Manager,Graduate,No,619,1,France,Urban,No,Female,42,2,0,Yes,Yes,Yes,Yes,0,5849,0,,101348.88,1,Y,1,959
2,LP001003,15647311,Hill,Sr Manager,Graduate,No,608,1,Spain,Rural,Divorced,Female,41,1,83807.86,No,Yes,No,Yes,1,4583,1508,128,112542.58,0,N,1,525
3,LP001005,15619304,Onio,Manager,Graduate,Yes,502,1,France,Urban,Divorced,Female,42,8,159660.8,Yes,3,Yes,No,0,3000,0,66,113931.57,1,Y,1,691
4,LP001006,15701354,Boni,Sr Manager,Not Graduate,No,699,1,France,Urban,Divorced,Female,39,1,0,No,2,No,No,0,2583,2358,120,93826.63,0,Y,1,816
5,LP001008,15737888,Mitchell,Manager,Graduate,No,850,1,Spain,Urban,No,Female,43,2,125510.82,Yes,Yes,Yes,Yes,0,6000,0,141,79084.1,0,Y,1,789
6,LP001011,15574012,Chu,Manager,Graduate,Yes,645,1,Spain,Urban,Divorced,Male,44,8,113755.78,Yes,2,Yes,No,2,5417,4196,267,149756.71,1,Y,1,314
7,LP001013,15592531,Bartlett,Executive,Not Graduate,No,822,1,France,Urban,Married,Male,50,7,0,Yes,2,Yes,Yes,0,2333,1516,95,10062.8,0,Y,1,666
8,LP001014,15656148,Obinna,Sr Manager,Graduate,No,376,0,Germany,Semiurban,Divorced,Female,29,4,115046.74,Yes,4,Yes,No,3+,3036,2504,158,119346.88,1,N,1,814
9,LP001018,15792365,He,Manager,Graduate,No,501,1,France,Urban,Divorced,Male,44,4,142051.07,No,2,No,Yes,2,4006,1526,168,74940.5,0,Y,1,687
10,LP001020,15592389,H?,Manager,Graduate,No,684,1,France,Semiurban,Married,Male,27,2,134603.88,Yes,Yes,Yes,Yes,1,12841,10968,349,71725.73,0,N,1,876
11,LP001024,15767821,Bearce,Executive,Graduate,No,528,1,France,Urban,Married,Male,31,6,102016.72,No,2,No,No,2,3200,700,70,80181.12,0,Y,1,465
12,LP001027,15737173,Andrews,Sr Manager,Graduate,No,497,1,Spain,Urban,Married,Male,24,3,0,Yes,2,Yes,No,2,2500,1840,109,76390.01,0,Y,1,860
13,LP001028,15632264,Kay,Sr Manager,Graduate,No,476,1,France,Urban,Married,Female,34,10,0,Yes,2,Yes,No,2,3073,8106,200,26260.98,0,Y,1,948
14,LP001029,15691483,Chin,Executive,Graduate,No,549,1,France,Rural,No,Female,25,5,0,No,2,No,No,0,1853,2840,114,190857.79,0,N,1,762
